chain	Linked metal rings; a connected series of events.
chair	A seat with a back for one person; to lead a meeting.
chalk	A soft white rock used for writing on blackboards.
champ	A winner or title-holder; to bite and chew noisily.
chant	To sing or say words in a repeating rhythm.
chaos	Complete disorder and confusion.
chard	A leafy green vegetable with colorful stems.
charm	A pleasing quality; a magic spell; to delight.
chart	A map or graph of information; to plan a course.
chase	To run after in order to catch.
chasm	A deep crack or gap in the ground or in ideas.
cheap	Low in price; of poor quality.
cheat	To act dishonestly to gain an advantage.
check	To examine; a pattern of squares; a restaurant bill.
cheek	The side of the face below the eye; rude boldness.
cheer	To shout support; a feeling of happiness.
chess	A board game of strategy for two players.
chest	The front of the upper body; a strong storage box.
chick	A baby bird; informal word for a young woman.
chide	To scold someone mildly.
chief	The leader; most important.
child	A young human being; a son or daughter.
chili	A hot pepper; a spicy stew with meat and beans.
chill	A cold feeling; to make cold; relaxed (informal).
chime	A ringing sound of bells; to ring in harmony.
china	Fine ceramic dishes and teacups.
chirp	A short high sound made by a small bird or insect.
chock	A wedge placed to stop a wheel from rolling.
choir	A group of people who sing together.
choke	To be unable to breathe from a blocked throat.
chord	A group of musical notes played together.
chore	A routine dull task, especially housework.
chose	Past tense of choose; selected.
chuck	To throw casually; to give up (informal).
chump	A foolish or easily tricked person (informal).
chunk	A thick solid piece of something.
churn	To stir cream into butter; to move roughly.
chute	A sloping channel for sliding things down.
cider	A drink made from pressed apples.
cigar	A roll of tobacco leaves for smoking.
cinch	Something very easy; a firm hold.
circa	Approximately; about (used with dates).
civic	Related to a city or citizenship.
civil	Polite; related to ordinary citizens not the military.
clack	A sharp clicking sound.
claim	To say something is true; a demand for something owed.
clamp	A device that holds things tightly together.
clang	A loud ringing metallic sound.
clank	A short metallic clanging noise.
clash	A loud conflict of sounds or opinions; to conflict.
clasp	To hold tightly; a fastener that holds things closed.
class	A group of students; a category; high style.
clean	Free from dirt, marks, or unwanted matter; pure or tidy.
clear	Easy to see, hear, or understand; free of obstruction.
cleat	A metal or plastic fitting with two projecting horns for securing ropes.
cleft	A split or narrow opening, especially in rock or a chin.
clerk	An office worker who keeps records or handles routine business.
click	A short, sharp sound, or to press a computer mouse button.
cliff	A steep rock face, often at the edge of the sea or a mountain.
climb	To go up something using hands and feet or great effort.
cling	To hold on tightly to someone or something.
clink	A light, sharp ringing sound of glass or metal.
cloak	A loose outer garment that hangs from the shoulders.
clock	A device that shows and measures time.
clone	An exact genetic copy of an organism, or a near duplicate.
close	Near in space or time; to shut something.
cloth	Woven or felted fabric used for garments and coverings.
cloud	A visible mass of water droplets or ice crystals in the sky.
clout	Influence or power, especially political or social.
clove	A dried flower bud used as a spice, or a segment of garlic.
clown	A comic performer in makeup who entertains with jokes and stunts.
cluck	The short, low sound a hen makes.
clued	Given a hint or piece of information to help solve something.
clump	A compact group of things growing or stuck together.
clung	Past tense of cling; held on tightly.
coach	A person who trains athletes or a large passenger vehicle.
coast	Land beside the sea, or to move without power or effort.
cobra	A venomous snake that can raise its neck into a hood.
cocoa	A powder from cacao beans, or a chocolate-flavored drink.
colon	A punctuation mark (:), or part of the large intestine.
color	The quality of an object of how it looks from reflected light.
comet	A icy body that orbits the sun and may show a glowing tail.
comfy	Informal for comfortable; cozy and pleasant to use or wear.
comic	Funny or amusing; someone who performs jokes for laughs.
comma	A punctuation mark (,) used to separate parts of a sentence.
conch	A large spiral seashell, or the marine mollusk that lives in it.
condo	An individually owned flat in a shared building.
conic	Having the shape of a cone; relating to cones in geometry.
copse	A small group of trees or thicket.
coral	Hard skeleton material built by tiny sea animals, forming reefs.
corer	A tool used to remove the center from fruit such as apples.
corny	Overly sentimental, trite, or old-fashioned in a cheesy way.
couch	A long upholstered seat for several people; a sofa.
cough	To force air from the lungs with a sudden sharp sound.
could	Past tense of can; used to express possibility or ability.
count	To find the total number of items, or a noble rank.
coupe	A car with two doors and a sloping roof, or a shallow dish.
court	A place where legal cases are heard, or an area for sports.
coven	A group or gathering of witches.
cover	Something that lies over or protects; to put that on something.
covet	To strongly desire something that belongs to someone else.
covey	A small flock of birds, especially partridges or quail.
cower	To crouch down in fear or shame.
coyly	In a shy, modest, or playfully teasing manner.
crack	A narrow break or split; to break open or make a sharp sound.
craft	Skill in making things by hand, or a boat, plane, or ship.
cramp	A sudden painful muscle contraction, or to confine tightly.
crane	A tall wading bird, or a machine for lifting heavy objects.
crank	A handle turned to start a machine, or an eccentric person.
crash	A violent collision or loud noise of breaking; to collide.
crass	Crude, insensitive, and lacking refinement.
crate	A wooden or plastic box used for shipping or storage.
crave	To want something very strongly, especially food or attention.
crawl	To move on hands and knees, or very slowly.
craze	A widespread temporary enthusiasm or fad.
crazy	Mentally unbalanced, or extremely enthusiastic or wild.
creak	To make a harsh, high-pitched sound when moved or stepped on.
cream	The fatty part of milk, or a thick soft cosmetic product.
credo	A statement of beliefs or principles.
creed	A system of religious or other beliefs.
creek	A small stream or narrow inlet of water.
creep	To move slowly and quietly, often to avoid notice.
creme	A creamy food, sauce, or dessert, from the French for cream.
crepe	A thin pancake, or a light crinkled fabric.
crept	Past tense of creep; moved slowly and quietly.
cress	A peppery green plant used in salads and sandwiches.
crest	The top of a hill or wave, or a decorative bird plume.
crick	A painful stiffness in the neck or back.
cried	Past tense of cry; shed tears or called out loudly.
crier	A person who calls out public announcements aloud.
crime	An illegal act punishable by law.
crimp	To press into small folds or ridges; to restrict or hinder.
crisp	Firm, dry, and easily broken; fresh and clear.
croak	The deep hoarse sound a frog makes, or to speak hoarsely.
crock	An earthenware pot, or something broken or nonsense.
crone	An old woman, often portrayed as ugly or witchlike.
crony	A close friend or companion, especially in politics.
crook	A criminal, or a bent or curved part of something.
cross	To go from one side to another; angry; a Christian symbol.
croup	A childhood illness with a harsh cough, or a horse's rump.
crowd	A large group of people gathered together.
crown	A royal headpiece, or the top part of the head or a tooth.
crude	In a raw or natural state; rough, rude, or vulgar.
cruel	Willfully causing pain or suffering; harsh and unkind.
crumb	A small fragment of bread, cake, or other food.
crump	To make a dull, heavy exploding sound.
crush	To press or squeeze with force until broken; an intense infatuation.
crust	The hard outer layer of bread, earth, or a pie.
crypt	An underground room, often under a church, used for burial.
cubic	Having the shape of a cube; measured in units of volume.
cumin	An aromatic spice from dried seeds used in cooking.
curio	A rare, unusual, or intriguing object for a collection.
curly	Having curls; spiraled or wavy in shape, as hair.
curry	A spiced dish of Indian origin, or to groom a horse.
curse	A solemn utterance meant to invoke harm; profane language.
curve	A smoothly bending line, or to bend without sharp angles.
curvy	Having an attractively full, rounded shape.
cutie	An informal term for an attractive or endearing person.
cyber	Relating to computers, the internet, or virtual reality.
cycle	A sequence of events that repeats over and over.
cynic	A person who believes people are motivated only by self-interest.
daddy	An informal or child's word for father.
daily	Happening or done every day.
dairy	Food made from milk, or a farm or shop that produces it.
daisy	A common flower with a yellow center and white petals.
dally	To waste time by lingering or acting playfully.
dance	To move rhythmically to music, usually with steps and gestures.
dandy	A man overly concerned with stylish clothes; excellent or fine.
datum	A single piece of information; the singular of data.
daunt	To make someone feel intimidated or discouraged.
dealt	Past tense of deal; distributed cards or handled a situation.
death	The end of life; the state of being dead.
debar	To officially exclude or prohibit someone from something.
debit	An entry recording money owed or taken from an account.
debug	To find and fix errors in computer code or a system.
debut	A person's first public appearance or performance.
decal	A design on paper that can be transferred to another surface.
decay	To rot or break down gradually; natural deterioration.
decor	The style and furnishings of a room or building.
decoy	Something used to lure someone into a trap or distraction.
decry	To publicly denounce or criticize something strongly.
defer	To put off until later, or to yield to another's judgment.
deign	To do something one considers beneath one's dignity.
deity	A god or goddess; a divine being.
delay	To make something happen later than planned; a postponement.
delta	A landform at a river's mouth, or the fourth Greek letter.
delve	To dig or search deeply into a subject or place.
demon	An evil spirit or fiend in folklore and religion.
demur	To raise doubts or objections; to show reluctance.
denim	A sturdy cotton fabric used especially for jeans.
dense	Closely packed together; thick; slow to understand.
depot	A place for storing goods or a bus or train station.
depth	The distance from top to bottom or front to back.
derby	A horse race, or a hard round felt hat.
deter	To discourage someone from doing something through fear of consequences.
detox	A process of removing toxins from the body.
deuce	A score of two, or a tied score in tennis.
devil	An evil supernatural being; a wicked or mischievous person.
diary	A daily written record of personal experiences and thoughts.
dicey	Risky, unpredictable, or potentially dangerous.
digit	A single numeral from 0 to 9, or a finger or toe.
dilly	Something remarkable or excellent; a lulu.
dimly	In a faint or poorly lit way; not clearly.
diner	A person who eats a meal, or a casual roadside restaurant.
dingo	A wild dog native to Australia.
dingy	Dirty, dull, and shabby in appearance.
diode	An electronic component that allows current in one direction.
dirge	A mournful song or lament for the dead.
dirty	Covered with dirt; morally unclean or unfair.
disco	Dance music of the 1970s, or a nightclub for dancing.
ditch	A long narrow trench, or to abandon someone or something.
ditto	The same as what was just said; used to agree or copy.
ditty	A short, simple song or tune.
diver	A person who swims underwater, often with breathing gear.
dizzy	Feeling lightheaded and unsteady, as if about to fall.
dodge	To avoid something by a quick movement; to evade.
dodgy	Dishonest, unreliable, or of questionable quality.
dogma	A principle or set of beliefs laid down as undeniably true.
doing	The act of performing an action; current activity.
dolly	A child's toy doll, or a wheeled platform for moving loads.
donor	A person who gives something, especially blood, organs, or money.
donut	A sweet fried dough ring, also spelled doughnut.
dopey	Stupid, dazed, or sluggish, as if from a drug.
doubt	A feeling of uncertainty about something.
dough	A mixture of flour and liquid for baking, or informal money.
dowdy	Unfashionable and dull in dress or appearance.
dowel	A cylindrical wooden or metal peg used to join pieces.
downy	Covered with soft fine hair or feathers; soft like down.
dowry	Property or money a bride brings to a marriage.
dozen	A group of twelve things or people.
draft	A preliminary version of a text, or a current of air.
drain	To remove liquid from something; a pipe that carries waste water.
drake	Adult male of a wild or domestic duck.
drama	A play for theater, or an exciting or emotional situation.
drank	Past tense of drink; swallowed liquid.
drape	To hang cloth loosely over something; a curtain.
drawl	A slow way of speaking with prolonged vowels.
drawn	Past participle of draw; pulled, sketched, or looking strained.
dread	To anticipate with great fear or anxiety.
dream	Images and thoughts during sleep, or a cherished aspiration.
dress	A one-piece garment for women, or to put clothes on.
dried	Having had moisture removed; past tense of dry.
drier	More dry, or a machine that dries clothes (also dryer).
drift	To be carried slowly by a current of air or water.
drill	A tool for making holes, or repeated practice of a skill.
drink	To swallow liquid; a beverage.
drive	To operate a vehicle, or a strong motivation.
droit	A legal right or claim, especially in French law contexts.
droll	Curious or unusual in a way that provokes dry amusement.
drone	A continuous low hum, a male bee, or a pilotless aircraft.
drool	To let saliva run from the mouth; excessive eagerness.
droop	To hang or bend downward limply from weakness or fatigue.
dross	Waste matter scummed from molten metal; worthless refuse.
drove	Past tense of drive; also a large group of animals or people.
drown	To die by being submerged in water and unable to breathe.
druid	A priest or member of an ancient Celtic religious order.
drunk	Intoxicated by alcohol; past participle of drink.
dryer	A machine that removes moisture, especially from clothes.
dryly	In a matter-of-fact or ironically humorous way.
duchy	The territory ruled by a duke or duchess.
dully	In a boring, lifeless, or not sharp manner.
dummy	A model of a human body, or a stupid person; a placeholder.
dumpy	Short and stout in an unattractive way.
dunce	A person who is slow at learning; a dullard.
dusky	Somewhat dark in color; dim or shadowy.
dusty	Covered with dust; old and unused.
dutch	Relating to the Netherlands or its people or language.
duvet	A soft quilt filled with down or synthetic fiber.
dwarf	A person of unusually small stature, or a small star.
dwell	To live in a place, or to think or speak at length about.
dwelt	Past tense of dwell; lived in a place.
dying	About to die; ceasing to exist or function.
eager	Keenly wanting to do or have something; enthusiastic.
eagle	A large bird of prey with a hooked beak and keen vision.
early	Happening or done before the usual or expected time.
earth	The planet we live on, or soil and ground.
easel	A standing frame used to support an artist's canvas.
eaten	Past participle of eat; consumed as food.
eater	A person or animal that eats, often of a certain kind.
ebony	A hard black wood, or a deep black color.
eclat	Brilliant display or effect; conspicuous success.
edict	An official order or proclamation issued by authority.
edify	To instruct or improve someone morally or intellectually.
eerie	Strange and frightening in a mysterious way.
egret	A heron-like wading bird with long white plumes.
eight	The cardinal number that is the sum of seven and one.
eject	To force or throw something out suddenly.
eking	Managing to make a living with difficulty; scraping by.
elate	To make someone ecstatically happy or proud.
elbow	The joint between the upper arm and the forearm.
elder	Older; a senior person with respect or authority.
elect	To choose someone by voting for a position or office.
elegy	A poem of serious reflection, usually for the dead.
elfin	Small and delicate, like an elf; charmingly mischievous.
elide	To omit a sound or syllable when speaking; to leave out.
elite	A select group that is superior in ability or qualities.
elope	To run away secretly to get married.
elude	To escape from or avoid skillfully; to fail to be grasped.
email	Electronic mail sent and received by computer.
embed	To fix something firmly and deeply in a surrounding mass.
ember	A small piece of glowing coal or wood in a dying fire.
emcee	A master of ceremonies who hosts an event.
empty	Containing nothing; vacant or unoccupied.
enact	To make a bill into law; to perform a role or scene.
endow	To provide with a permanent source of income or a quality.
enema	A procedure of injecting fluid into the rectum for cleansing.
enemy	A person or group actively opposed or hostile to another.
enjoy	To take delight or pleasure in something.
ennui	A feeling of listlessness and dissatisfaction from boredom.
ensue	To happen afterward or as a result; to follow.
enter	To go or come into a place or situation.
entry	An act of going in; an item recorded in a list or diary.
envoy	A messenger or representative, especially on a diplomatic mission.
epoch	A particular period of history marked by notable events.
epoxy	A strong adhesive resin used for bonding and coatings.
equal	The same in quantity, size, value, or status.
equip	To supply with the necessary items for a purpose.
erase	To remove writing, marks, or data completely.
erect	Upright in position; to build or put up.
erode	To wear away gradually by wind, water, or other forces.
error	A mistake; something incorrect.
erupt	To burst out suddenly, as a volcano or strong emotion.
essay	A short piece of writing on a particular subject.
ester	An organic chemical compound formed from an acid and alcohol.
ether	A light volatile liquid once used as an anesthetic; the clear sky.
ethic	A set of moral principles guiding behavior.
ethos	The characteristic spirit or values of a culture or group.
etude	A short musical composition for practice of a technique.
evade	To escape or avoid by cleverness or trickery.
event	Something that happens, especially something important.
every	Used to refer to all the individual members of a group.
evict	To legally force a tenant to leave a property.
evoke	To bring a feeling, memory, or image into the mind.
exact	Precisely accurate; to demand and obtain something.
exalt	To raise in rank, power, or character; to praise highly.
excel	To be exceptionally good at something.
exert	To apply or put forth force, influence, or effort.
exile	The state of being barred from one's native country; banishment.
exist	To have actual being; to be real or alive.
expel	To force out or ban someone from a place or group.
extol	To praise enthusiastically.
extra	Added to what is usual or necessary; additional.
exult	To show or feel triumphant joy.
eying	Looking at carefully or with interest; watching.
fable	A short story, often with animals, that teaches a moral.
facet	One side or aspect of something many-sided.
faint	Weak and dizzy; barely perceptible; to lose consciousness briefly.
fairy	A tiny mythical being with magical powers.
faith	Strong belief or trust, especially in religion or someone.
false	Not true or correct; fake or deceptive.
fancy	Elaborate and decorative; to want or imagine something.
fanny	Informal for buttocks; in British English, a different body part.
farce	A comic play full of absurd situations; a ridiculous sham.
fatal	Causing death or disaster; decisive and irreversible.
fatty	Containing a lot of fat; informal for an overweight person.
